,scheme_name,category,benchmark,latest NAV- Regular,latest NAV- Direct,1-Year Return(%)- Regular,1-Year Return(%)- Direct,3-Year Return(%)- Regular,3-Year Return(%)- Direct,5-Year Return(%)- Regular,5-Year Return(%)- Direct
2,ICICI Prudential Dividend Yield Equity Fund,Dividend Yield,NIFTY 500 Total Return Index,Very High,Very High,51.62,53.68,30.47,32.28,23.43,24.88
3,LIC MF Dividend Yield Fund,Dividend Yield,NIFTY 500 Total Return Index,Very High,Very High,50.26,51.78,22.87,24.12,21.81,23.20
4,SBI Dividend Yield Fund,Dividend Yield,NIFTY 500 Total Return Index,,Very High,32.92,34.35,NA,NA,NA,NA
5,Sundaram Dividend Yield Fund,Dividend Yield,NIFTY 500 Total Return Index,Very High,Very High,40.41,42.15,20.70,21.89,19.79,20.75
6,Tata Dividend Yield Fund,Dividend Yield,NIFTY 500 Total Return Index,Very High,Very High,40.05,42.50,NA,NA,NA,NA
7,Templeton India Equity Income Fund,Dividend Yield,NIFTY 500 Total Return Index,Very High,Very High,42.21,43.41,25.26,26.22,23.44,24.47
8,UTI Dividend Yield Fund,Dividend Yield,NIFTY 500 Total Return Index,Very High,Very High,40.95,41.80,19.87,20.60,19.33,20.03
0,360 ONE Focused Equity Fund,Focused,S&P BSE 500 Total Return Index,Very High,Very High,34.59,35.91,21.54,22.80,22.42,23.84
1,Aditya Birla Sun Life Focused Fund,Focused,NIFTY 500 Total Return Index,Very High,Very High,30.02,31.28,16.72,17.83,16.28,17.36
2,Axis Focused Fund,Focused,NIFTY 500 Total Return Index,Very High,Very High,22.50,23.66,8.68,9.83,12.93,14.18
3,Bandhan Focused Equity Fund,Focused,S&P BSE 500 Total Return Index,Very High,Very High,30.62,32.34,16.64,18.19,15.64,17.19
4,Baroda BNP Paribas Focused Fund,Focused,NIFTY 500 Total Return Index,Very High,Very High,35.12,37.63,19.11,21.21,17.51,19.42
5,Canara Robeco Focused Equity Fund,Focused,S&P BSE 500 Total Return Index,Very High,Very High,29.38,31.27,NA,NA,NA,NA
6,DSP Focus Fund,Focused,NIFTY 500 Total Return Index,Very High,Very High,37.40,38.84,16.25,17.48,16.26,17.50
7,Edelweiss Focused Fund,Focused,NIFTY 500 Total Return Index,,Very High,33.52,35.72,NA,NA,NA,NA
8,Franklin India Focused Equity Fund,Focused,NIFTY 500 Total Return Index,Very High,Very High,35.40,36.54,21.47,22.46,19.56,20.55
9,HDFC Focused 30 Fund,Focused,NIFTY 500 Total Return Index,Very High,Very High,38.65,40.39,28.48,30.16,21.10,22.53
10,HSBC Focused Fund,Focused,NIFTY 500 Total Return Index,Very High,Very High,33.59,35.19,16.73,17.62,NA,NA
11,ICICI Prudential Focused Equity Fund,Focused,S&P BSE 500 Total Return Index,Very High,Very High,43.58,45.29,23.56,25.13,21.20,22.65
12,Invesco India Focused Fund,Focused,S&P BSE 500 Total Return Index,Very High,Very High,63.05,65.24,24.46,26.40,NA,NA
13,JM Focused Fund,Focused,S&P BSE 500 Total Return Index,Very High,Very High,50.85,52.47,23.99,25.19,16.87,18.26
14,Kotak Focused Equity Fund,Focused,NIFTY 500 Total Return Index,Very High,Very High,30.70,32.56,17.96,19.79,NA,NA
15,LIC MF Focused 30 Equity Fund,Focused,NIFTY 500 Total Return Index,Very High,Very High,18.77,19.83,15.24,16.28,14.71,15.79
16,Mahindra Manulife Focused Fund,Focused,NIFTY 500 Total Return Index,Very High,Very High,47.64,50.15,25.41,27.88,NA,NA
17,Mirae Asset Focused Fund,Focused,NIFTY 500 Total Return Index,Very High,Very High,14.17,15.53,11.30,12.71,16.72,18.37
18,Motilal Oswal Focused Fund,Focused,NIFTY 500 Total Return Index,Very High,Very High,22.83,24.24,12.19,13.52,14.66,16.03
19,Nippon India Focused Equity Fund,Focused,S&P BSE 500 Total Return Index,Very High,Very High,29.50,30.40,18.52,19.35,18.37,19.18
20,Quant Focused Fund,Focused,NIFTY 500 Total Return Index,Very High,Very High,49.33,51.76,20.25,22.49,23.30,25.50
21,SBI Focused Equity Fund,Focused,S&P BSE 500 Total Return Index,Very High,Very High,27.78,28.90,16.40,17.53,16.76,17.93
22,Sundaram Focused Fund,Focused,NIFTY 500 Total Return Index,Very High,Very High,29.98,31.34,17.11,18.35,19.11,20.23
23,Tata Focused Equity Fund,Focused,NIFTY 500 Total Return Index,Very High,Very High,32.89,34.90,19.39,21.34,NA,NA
24,Union Focused Fund,Focused,S&P BSE 500 Total Return Index,Very High,Very High,28.18,29.46,17.03,18.17,NA,NA
25,UTI Focused Fund,Focused,NIFTY 500 Total Return Index,Very High,Very High,31.50,33.43,NA,NA,NA,NA
