,scheme_name,category,benchmark,latest NAV- Regular,latest NAV- Direct,1-Year Return(%)- Regular,1-Year Return(%)- Direct,3-Year Return(%)- Regular,3-Year Return(%)- Direct,5-Year Return(%)- Regular,5-Year Return(%)- Direct
14,Kotak Emerging Equity Fund,Mid Cap,NIFTY Midcap 150 Total Return Index,Very High,Very High,42.34,43.96,24.20,25.69,24.95,26.49
15,LIC MF Midcap Fund,Mid Cap,NIFTY Midcap 150 Total Return Index,Very High,Very High,47.56,48.90,21.08,22.17,20.20,21.29
16,Mahindra Manulife Mid Cap Fund,Mid Cap,NIFTY Midcap 150 Total Return Index,Very High,Very High,61.02,63.47,28.07,30.18,27.34,29.42
17,Mirae Asset Midcap Fund,Mid Cap,NIFTY Midcap 150 Total Return Index,Very High,Very High,47.89,49.54,23.97,25.49,NA,NA
18,Motilal Oswal Midcap Fund,Mid Cap,NIFTY Midcap 150 Total Return Index,Very High,Very High,56.59,58.36,36.69,38.27,28.10,29.61
19,Nippon India Growth Fund,Mid Cap,NIFTY Midcap 150 Total Return Index,Very High,Very High,54.49,55.69,29.78,30.80,26.71,27.65
20,PGIM India Midcap Opportunities Fund,Mid Cap,NIFTY Midcap 150 Total Return Index,Very High,Very High,26.95,28.57,19.05,20.88,26.84,28.88
21,Quant Mid Cap Fund,Mid Cap,NIFTY Midcap 150 Total Return Index,Very High,Very High,71.30,73.33,32.95,35.40,34.65,37.07
22,SBI Magnum Midcap Fund,Mid Cap,NIFTY Midcap 150 Total Return Index,Very High,Very High,35.54,36.75,24.73,25.84,24.91,26.02
23,Sundaram Mid Cap Fund,Mid Cap,NIFTY Midcap 150 Total Return Index,Very High,Very High,52.47,53.75,26.66,27.77,21.49,22.53
24,Tata Midcap Growth Fund,Mid Cap,NIFTY Midcap 150 Total Return Index,Very High,Very High,52.77,54.53,25.60,27.14,24.56,26.16
25,Taurus Mid Cap Fund,Mid Cap,NIFTY Midcap 150 Total Return Index,Very High,Very High,48.41,48.94,22.89,23.33,23.80,24.27
26,Union Midcap Fund,Mid Cap,S&P BSE 150 MidCap Total Return Index,Very High,Very High,40.96,43.08,24.27,26.09,NA,NA
27,UTI Mid Cap Fund,Mid Cap,NIFTY Midcap 150 Total Return Index,Very High,Very High,38.77,40.06,21.52,22.70,23.26,24.41
28,WhiteOak Capital Mid Cap Fund,Mid Cap,S&P BSE 150 MidCap Total Return Index,,Very High,51.55,54.04,NA,NA,NA,NA
0,Aditya Birla Sun Life Small Cap Fund,Small Cap,S&P BSE 250 SmallCap Total Return Index,Very High,Very High,41.87,43.44,20.24,21.52,19.00,20.31
1,Axis Small Cap Fund,Small Cap,NIFTY Smallcap 250 Total Return Index,Very High,Very High,36.12,37.62,24.41,26.07,27.00,28.83
2,Bandhan Small Cap Fund,Small Cap,S&P BSE 250 SmallCap Total Return Index,Very High,Very High,68.82,71.31,29.35,31.43,NA,NA
3,Bank of India Small Cap Fund,Small Cap,NIFTY Smallcap 250 Total Return Index,Very High,Very High,48.88,51.04,27.59,29.60,32.66,34.92
4,Canara Robeco Small Cap Fund,Small Cap,NIFTY Smallcap 250 Total Return Index,Very High,Very High,37.90,39.66,27.17,29.14,28.90,31.01
5,DSP Small Cap Fund,Small Cap,S&P BSE 250 SmallCap Total Return Index,Very High,Very High,42.92,44.17,25.46,26.58,26.11,27.23
6,Edelweiss Small Cap Fund,Small Cap,NIFTY Smallcap 250 Total Return Index,Very High,Very High,43.71,45.90,27.21,29.27,29.43,31.50
7,Franklin India Smaller Companies Fund,Small Cap,NIFTY Smallcap 250 Total Return Index,Very High,Very High,53.85,55.19,32.04,33.16,25.51,26.59
8,HDFC Small Cap Fund,Small Cap,S&P BSE 250 SmallCap Total Return Index,Very High,Very High,41.92,43.23,29.25,30.50,24.58,25.80
9,HSBC Small Cap Fund,Small Cap,NIFTY Smallcap 250 Total Return Index,Very High,Very High,48.05,49.57,31.53,33.04,26.58,28.03
10,ICICI Prudential Smallcap Fund,Small Cap,NIFTY Smallcap 250 Total Return Index,Very High,Very High,40.53,42.12,27.98,29.60,27.11,28.79
11,Invesco India Smallcap Fund,Small Cap,S&P BSE 250 SmallCap Total Return Index,Very High,Very High,52.24,54.45,29.47,31.43,28.12,30.10
12,ITI Small Cap Fund,Small Cap,NIFTY Smallcap 250 Total Return Index,Very High,Very High,64.01,66.94,22.71,25.14,NA,NA
13,Kotak Small Cap Fund,Small Cap,NIFTY Smallcap 250 Total Return Index,Very High,Very High,39.29,41.02,23.61,25.27,28.48,30.25
14,LIC MF Small Cap Fund,Small Cap,NIFTY Smallcap 250 Total Return Index,Very High,Very High,45.04,46.47,27.62,28.86,25.19,26.44
15,Mahindra Manulife Small Cap Fund,Small Cap,S&P BSE 250 SmallCap Total Return Index,Very High,Very High,66.97,69.84,NA,NA,NA,NA
16,Nippon India Small Cap Fund,Small Cap,NIFTY Smallcap 250 Total Return Index,Very High,Very High,55.41,56.68,34.29,35.46,32.13,33.27
17,PGIM India Small Cap Fund,Small Cap,NIFTY Smallcap 250 Total Return Index,Very High,Very High,32.45,34.59,NA,NA,NA,NA
18,Quant Small Cap Fund,Small Cap,NIFTY Smallcap 250 Total Return Index,Very High,Very High,62.83,64.47,33.48,35.36,40.68,42.28
19,SBI Small Cap Fund,Small Cap,S&P BSE 250 SmallCap Total Return Index,Very High,Very High,36.21,37.55,23.51,24.79,26.21,27.59
20,Sundaram Small Cap Fund,Small Cap,NIFTY Smallcap 250 Total Return Index,Very High,Very High,44.26,45.87,26.49,27.97,25.05,26.47
21,Tata Small Cap Fund,Small Cap,NIFTY Smallcap 250 Total Return Index,Very High,Very High,44.17,46.28,29.91,32.17,28.74,31.03
22,Union Small Cap Fund,Small Cap,S&P BSE 250 SmallCap Total Return Index,Very High,Very High,42.61,44.33,24.70,25.99,27.08,28.22
23,UTI Small Cap Fund,Small Cap,NIFTY Smallcap 250 Total Return Index,Very High,Very High,34.65,36.55,22.83,24.90,NA,NA
0,Aditya Birla Sun Life Pure Value Fund,Value,NIFTY 500 Total Return Index,Very High,Very High,48.04,49.34,21.73,22.83,19.01,20.17
1,Axis Value Fund,Value,NIFTY 500 Total Return Index,Very High,Very High,45.53,47.52,NA,NA,NA,NA
2,Bandhan Sterling Value Fund,Value,S&P BSE 500 Total Return Index,Very High,Very High,39.46,40.98,25.60,26.97,22.90,24.23
3,Canara Robeco Value Fund,Value,S&P BSE 500 Total Return Index,Very High,Very High,36.15,38.21,NA,NA,NA,NA
4,Groww Value Fund,Value,NIFTY 500 Total Return Index,Very High,Very High,37.89,39.62,19.05,20.98,16.41,18.46
5,HDFC Capital Builder Value Fund,Value,NIFTY 500 Total Return Index,Very High,Very High,39.48,40.67,21.73,22.84,17.78,18.84
6,HSBC Value Fund,Value,NIFTY 500 Total Return Index,Very High,Very High,51.32,52.79,27.34,28.58,22.97,24.16
7,ICICI Prudential Value Discovery Fund,Value,NIFTY 500 Total Return Index,Very High,Very High,39.20,39.96,25.24,25.92,23.52,24.20
8,ITI Value Fund,Value,NIFTY 500 Total Return Index,Very High,Very High,48.18,51.01,NA,NA,NA,NA
9,JM Value Fund,Value,S&P BSE 500 Total Return Index,Very High,Very High,62.71,64.26,29.74,30.72,25.17,26.07
10,LIC MF Long Term Value Fund,Value,NIFTY 500 Total Return Index,Very High,Very High,31.84,33.03,17.49,NA,16.82,NA
11,Nippon India Value Fund,Value,NIFTY 500 Total Return Index,Very High,Very High,52.41,53.50,26.19,27.08,22.96,23.80
12,Quantum Long Term Equity Value Fund,Value,S&P BSE 500 Total Return Index,Very High,Very High,36.27,37.39,18.17,18.88,15.75,16.40
13,Quant Value Fund,Value,NIFTY 500 Total Return Index,Very High,Very High,71.61,74.17,NA,NA,NA,NA
14,Tata Equity PE Fund,Value,NIFTY 500 Total Return Index,Very High,Very High,45.93,47.36,25.13,26.40,20.21,21.60
